Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-08-29,Afternoon,Referral,89.77,47.96,1,New,Michelle Chambers,Glow & Go Studio
2023-04-14,Night,Google Ads,499.47,101.45,13,Returning,Kelly Wright,Glow & Go Studio
2023-02-14,Afternoon,Instagram,386.13,254.45,8,Returning,Kevin Carson,Glow & Go Studio
2023-09-07,Morning,Instagram,303.51,196.54,7,Returning,Brent Dawson,Glow & Go Studio
2023-07-22,Morning,Walk-in,41.64,9.06,0,New,Angela Brown,Glow & Go Studio
2023-12-04,Afternoon,Walk-in,325.35,311.03,11,New,Karen Griffin,Glow & Go Studio
2023-04-07,Evening,Email,95.24,43.19,2,New,Joseph Chapman,Glow & Go Studio
2023-07-08,Night,Walk-in,386.22,133.62,4,New,Jennifer Baker,Glow & Go Studio
2023-08-05,Afternoon,Walk-in,274.62,64.72,11,Returning,Mr. Jeremiah Galvan MD,Glow & Go Studio
2023-01-01,Evening,Facebook,492.64,110.38,8,Returning,Samantha Thomas,Glow & Go Studio
2023-01-15,Afternoon,Referral,232.46,110.29,3,New,Michael Anderson,Glow & Go Studio
2023-11-20,Morning,Instagram,197.58,155.71,4,Returning,Sharon Wilson,Glow & Go Studio
2023-03-09,Morning,Email,66.87,37.32,0,Returning,John Francis,Glow & Go Studio
2023-07-27,Night,Walk-in,322.94,92.19,4,Returning,Jaclyn Crane,Glow & Go Studio
2023-10-30,Afternoon,Facebook,72.42,16.06,1,New,Jennifer Martinez,Glow & Go Studio
2023-09-26,Afternoon,Facebook,171.44,41.6,3,Returning,Amanda Hernandez,Glow & Go Studio
2023-04-13,Afternoon,Referral,143.71,35.32,2,New,William Turner,Glow & Go Studio
2023-03-04,Afternoon,Instagram,196,75.86,2,New,Dr. Charles Lawrence,Glow & Go Studio
2023-05-04,Night,Instagram,482.94,131.11,5,New,Steven Small,Glow & Go Studio
2023-08-24,Evening,Email,230.21,109.76,12,Returning,Robert Burns,Glow & Go Studio
2023-10-28,Evening,Referral,458.14,397.56,33,Returning,Gregory Harrell,Glow & Go Studio
2023-08-09,Morning,Facebook,408.38,100.63,7,New,Kenneth Knight,Glow & Go Studio
2023-11-25,Evening,Referral,189.83,76.37,5,Returning,Rachael Alvarez,Glow & Go Studio
2023-12-07,Night,Google Ads,403.36,226.26,13,Returning,Lisa Gill,Glow & Go Studio
2023-05-30,Afternoon,Google Ads,130.37,39.83,4,New,Julia Cole,Glow & Go Studio
2023-04-24,Afternoon,Google Ads,78.65,16.81,4,New,Sean Nguyen,Glow & Go Studio
2023-02-06,Afternoon,Referral,406.45,288.41,4,New,Mary Ortiz,Glow & Go Studio
2023-09-12,Morning,Email,201.71,42.31,2,Returning,James Weaver,Glow & Go Studio
2023-05-05,Afternoon,Instagram,327.8,97.19,3,Returning,Stacy Fitzgerald,Glow & Go Studio
2023-03-06,Afternoon,Google Ads,287.15,249.74,6,New,Sharon Mann,Glow & Go Studio
2023-09-01,Evening,Instagram,424.65,114.92,8,Returning,Rebecca Zimmerman,Glow & Go Studio
2023-02-24,Afternoon,Email,110.35,35.73,5,New,Becky Hansen,Glow & Go Studio
2023-10-15,Night,Walk-in,388.59,184.1,4,New,Luke Ray,Glow & Go Studio
2023-05-18,Morning,Google Ads,398.38,86.34,6,New,Kelly Lopez,Glow & Go Studio
2023-02-19,Night,Google Ads,281.21,132.18,3,Returning,Steven Martinez,Glow & Go Studio
2023-11-25,Morning,Instagram,250.48,55.48,4,New,Catherine Smith,Glow & Go Studio
2023-01-26,Night,Instagram,313.31,111.61,8,New,Danielle Thornton,Glow & Go Studio
2023-11-14,Evening,Referral,412.21,109.38,6,New,Jill Roman,Glow & Go Studio
2023-07-18,Morning,Facebook,107.78,37.12,2,New,Jennifer Williams,Glow & Go Studio
2023-05-27,Evening,Email,292.23,148.53,4,New,Allison Kim,Glow & Go Studio
2023-02-24,Evening,Instagram,256.39,95.48,4,New,Scott Stewart,Glow & Go Studio
2023-10-27,Morning,Walk-in,371.59,89,7,New,Brian Garcia,Glow & Go Studio
2023-03-20,Night,Walk-in,22.04,9.37,1,Returning,Charles Scott,Glow & Go Studio
2023-03-26,Evening,Google Ads,68.71,42.17,6,New,Eric Russell,Glow & Go Studio
2023-02-27,Evening,Email,138.51,40.48,1,Returning,Lucas Nguyen,Glow & Go Studio
2023-04-05,Afternoon,Email,472.12,239.04,6,Returning,Anthony Price,Glow & Go Studio
2023-07-22,Morning,Google Ads,350.09,79.52,4,New,Jason Nguyen,Glow & Go Studio
2023-03-12,Evening,Facebook,174.2,53.6,7,Returning,Ronald Martinez,Glow & Go Studio
2023-12-26,Afternoon,Facebook,309.74,199.18,4,New,Paul Willis,Glow & Go Studio
2023-04-09,Afternoon,Referral,429.92,222.21,7,Returning,Paul Cruz Jr.,Glow & Go Studio
2023-12-20,Night,Referral,196.78,75.86,3,New,John Russell,Glow & Go Studio
2023-04-02,Morning,Email,55.55,14.59,4,Returning,Mr. David Mercado,Glow & Go Studio
2023-03-19,Afternoon,Email,369.64,320.98,6,New,Victor Leonard,Glow & Go Studio
2023-10-02,Afternoon,Walk-in,261.73,67.81,2,New,Justin Glover,Glow & Go Studio
2023-09-15,Morning,Facebook,329.34,179.85,7,New,Jason Miller,Glow & Go Studio
2023-04-08,Afternoon,Email,11.78,5.28,0,New,Christina Faulkner,Glow & Go Studio
2023-03-01,Evening,Walk-in,61.67,37.01,0,Returning,William Casey,Glow & Go Studio
2023-05-08,Afternoon,Facebook,348.05,123.92,6,Returning,Jessica Buck,Glow & Go Studio
2023-02-05,Morning,Email,490.32,108.99,13,New,Aaron Marshall,Glow & Go Studio
2023-02-14,Afternoon,Facebook,445.27,141.68,11,New,Donna Stanton,Glow & Go Studio
2023-07-21,Morning,Instagram,357.69,211.22,5,New,Timothy Olson,Glow & Go Studio
2023-02-13,Afternoon,Instagram,417.37,183.25,8,Returning,Sara James,Glow & Go Studio
2023-10-23,Evening,Instagram,21.86,17.16,0,Returning,Mark Richards,Glow & Go Studio
2023-03-26,Morning,Email,262.15,55.8,7,Returning,Amber Stevenson,Glow & Go Studio
2023-09-09,Night,Google Ads,484.01,175.38,5,Returning,Elizabeth Foster,Glow & Go Studio
2023-01-26,Night,Referral,48.62,13.44,2,Returning,Charles Hawkins,Glow & Go Studio
2023-04-02,Afternoon,Facebook,443.74,97.61,17,Returning,Jeffrey Bishop,Glow & Go Studio
2023-05-11,Morning,Google Ads,124.43,57.25,1,Returning,Emily Fleming,Glow & Go Studio
2023-03-01,Evening,Google Ads,250.67,86.99,11,Returning,Dean Mullins,Glow & Go Studio
2023-05-16,Evening,Facebook,412.36,137.57,9,New,David Bird,Glow & Go Studio
2023-12-15,Afternoon,Instagram,481.22,128.02,35,Returning,Joe Greene,Glow & Go Studio
2023-04-17,Evening,Referral,457.32,391.8,8,Returning,Michael Lucas,Glow & Go Studio
2023-09-18,Afternoon,Walk-in,422.8,410.45,31,New,John Valenzuela,Glow & Go Studio
2023-04-24,Morning,Facebook,397.8,178.76,13,New,Jennifer Woodard,Glow & Go Studio
2023-08-18,Evening,Google Ads,334.75,195.93,3,Returning,Pamela Medina,Glow & Go Studio
2023-01-26,Evening,Referral,324.8,66.12,10,Returning,Mariah Jones,Glow & Go Studio
2023-11-29,Afternoon,Referral,332.88,91.6,21,Returning,Ronnie Powers,Glow & Go Studio
2023-03-29,Morning,Email,110.46,47.72,4,Returning,Heather Hess,Glow & Go Studio
2023-12-25,Evening,Referral,182.68,46.93,4,New,Heather Thompson,Glow & Go Studio
2023-02-16,Morning,Google Ads,437.07,280.69,5,Returning,Melissa Smith,Glow & Go Studio
2023-09-02,Night,Email,97.45,41.03,1,Returning,Timothy Wallace,Glow & Go Studio
2023-09-23,Evening,Facebook,410.13,187.74,6,New,Alejandro Campbell,Glow & Go Studio
2023-05-29,Morning,Facebook,450.44,159.63,31,New,Heather Davis,Glow & Go Studio
2023-05-27,Morning,Referral,465.06,159.27,6,Returning,Elizabeth Robbins,Glow & Go Studio
2023-04-30,Afternoon,Facebook,283,149.31,6,New,Johnny Cox,Glow & Go Studio
2023-07-09,Afternoon,Walk-in,21.64,8.12,0,Returning,Tanner Mann,Glow & Go Studio
2023-01-05,Morning,Instagram,479.42,111.16,4,New,Craig Nicholson,Glow & Go Studio
2023-11-09,Evening,Email,276.61,58.09,3,Returning,Sergio Carroll,Glow & Go Studio
2023-08-19,Afternoon,Referral,106.37,44.72,1,Returning,Juan Keller MD,Glow & Go Studio
2023-11-29,Morning,Instagram,431.52,153.97,5,New,Krystal Jones,Glow & Go Studio
2023-03-02,Evening,Walk-in,469.49,277.23,5,New,Austin Green,Glow & Go Studio
2023-02-12,Evening,Instagram,289.48,97.22,3,Returning,Crystal Mills,Glow & Go Studio
2023-10-25,Afternoon,Google Ads,242.69,85.31,3,Returning,Cheryl Gregory,Glow & Go Studio
2023-11-15,Morning,Facebook,497.94,114.92,8,New,Melissa Patel MD,Glow & Go Studio
2023-04-20,Night,Instagram,397.19,90.43,5,Returning,Jordan Pace,Glow & Go Studio
2023-01-15,Morning,Email,55.96,15.59,1,New,Terri Williams,Glow & Go Studio
2023-12-16,Afternoon,Facebook,435.6,408.05,12,Returning,Jessica Carney,Glow & Go Studio
2023-03-25,Evening,Referral,54.11,12.69,1,Returning,Michael Owens,Glow & Go Studio
2023-11-29,Night,Referral,140.3,44.07,2,New,Peter Stephenson,Glow & Go Studio
2023-11-20,Night,Facebook,357.21,178.53,4,Returning,Donald Fisher,Glow & Go Studio
2023-04-21,Afternoon,Walk-in,230.03,210.31,9,Returning,Aaron Lee,Glow & Go Studio
2023-02-03,Morning,Walk-in,447.46,95.61,4,Returning,Kenneth Johnson,Glow & Go Studio
2023-11-22,Afternoon,Facebook,415.83,411.36,5,Returning,Vanessa Coleman,Glow & Go Studio
2023-12-31,Afternoon,Referral,488.38,121.76,8,New,David Martin,Glow & Go Studio
2023-03-24,Morning,Email,358.79,173.02,9,New,Mark Davis,Glow & Go Studio
2023-06-22,Morning,Instagram,371.72,95.73,4,Returning,Robert Watkins,Glow & Go Studio
2023-01-03,Morning,Email,179.43,40.97,3,New,Felicia Wright,Glow & Go Studio
2023-06-07,Afternoon,Referral,75.89,32.84,0,Returning,David Peterson,Glow & Go Studio
2023-01-18,Night,Facebook,471.33,94.37,15,New,Gavin Bauer,Glow & Go Studio
2023-08-03,Morning,Walk-in,306.84,75.64,27,Returning,Patricia Harvey,Glow & Go Studio
2023-01-26,Morning,Walk-in,196.37,115.66,2,New,Lori Riley,Glow & Go Studio
2023-10-14,Morning,Google Ads,393.92,247.59,26,Returning,Antonio Johnson,Glow & Go Studio
2023-03-31,Morning,Email,101.03,67,2,New,Ryan Brown,Glow & Go Studio
2023-08-16,Night,Walk-in,371.42,88.6,23,Returning,Thomas Ramos,Glow & Go Studio
2023-05-23,Afternoon,Walk-in,489.71,333.08,5,Returning,Mark Jones,Glow & Go Studio
2023-04-23,Evening,Referral,337.71,87.51,6,Returning,Kristin Phillips,Glow & Go Studio
2023-02-22,Night,Email,275.02,72.49,2,Returning,Brendan Walton,Glow & Go Studio
2023-12-11,Night,Facebook,213.05,74.02,5,New,Kyle Keller,Glow & Go Studio
2023-04-21,Evening,Walk-in,423.59,203.27,5,Returning,James Pope,Glow & Go Studio
2023-03-03,Evening,Google Ads,341.34,87.94,24,New,Lisa Morgan,Glow & Go Studio
2023-05-25,Afternoon,Facebook,260.81,77.23,9,New,Rachel Gibson,Glow & Go Studio
2023-02-11,Evening,Google Ads,130.39,32.59,4,New,Corey Garcia,Glow & Go Studio
2023-06-23,Morning,Facebook,363.46,89.39,5,Returning,Andrea Clarke,Glow & Go Studio
2023-03-10,Night,Walk-in,53.73,21.47,1,Returning,Kenneth Walsh,Glow & Go Studio
2023-12-08,Evening,Walk-in,241.3,80.77,3,New,Jason Hardy,Glow & Go Studio
2023-11-27,Morning,Google Ads,463.49,291.99,14,New,David Robles,Glow & Go Studio
2023-01-13,Night,Walk-in,247.41,92.92,3,Returning,Eric Graham,Glow & Go Studio
2023-01-07,Afternoon,Email,424.74,86.85,15,New,Nicole Collins,Glow & Go Studio
2023-09-22,Evening,Instagram,443.09,131.35,8,Returning,Patricia Hernandez,Glow & Go Studio
2023-04-05,Night,Email,136.9,48.48,1,Returning,Grant Wood,Glow & Go Studio
2023-02-25,Night,Referral,257.98,57.59,4,New,Kevin Gregory,Glow & Go Studio
2023-03-05,Evening,Walk-in,407.84,127.94,7,New,Jonathon Conley,Glow & Go Studio
2023-10-12,Night,Instagram,254.5,119.05,3,Returning,Jennifer Gonzalez,Glow & Go Studio
2023-06-04,Night,Email,399.63,96.27,12,New,Terry Glover,Glow & Go Studio
2023-04-05,Afternoon,Instagram,365.74,109.55,4,Returning,Michael Neal,Glow & Go Studio
2023-01-12,Afternoon,Email,268.91,54.56,4,Returning,Ms. Erin Lane,Glow & Go Studio
2023-08-25,Morning,Email,89.57,30.33,1,Returning,Lisa Barnes,Glow & Go Studio
2023-09-18,Afternoon,Instagram,387.78,100.16,10,Returning,Jesse Mccormick,Glow & Go Studio
2023-04-17,Evening,Instagram,217.35,105.48,6,Returning,Daniel Smith,Glow & Go Studio
2023-02-04,Afternoon,Email,361.32,274.39,5,Returning,David Hanson,Glow & Go Studio
2023-08-04,Evening,Email,427.46,316.55,4,New,Nicholas Cisneros,Glow & Go Studio
2023-02-01,Afternoon,Google Ads,137.35,35.44,3,Returning,Patrick Harris,Glow & Go Studio
2023-02-23,Evening,Instagram,472.65,311.4,10,New,William Cox,Glow & Go Studio
2023-04-08,Evening,Instagram,71.06,24.99,1,Returning,Alvin Wilson,Glow & Go Studio
2023-09-18,Morning,Referral,234.9,67.51,2,New,Cory Willis,Glow & Go Studio
2023-04-28,Evening,Facebook,233.11,73.02,3,New,Amanda Johnson,Glow & Go Studio
2023-11-17,Morning,Referral,393.95,179.6,7,Returning,Christopher Mcclure,Glow & Go Studio
2023-09-30,Night,Facebook,274.49,63.89,4,Returning,Gina Spencer,Glow & Go Studio
2023-08-06,Afternoon,Google Ads,437.41,138.28,8,Returning,Alex Cameron,Glow & Go Studio
2023-04-24,Evening,Referral,206.39,104.7,3,New,Alisha Byrd,Glow & Go Studio
2023-03-28,Morning,Instagram,274.79,77.81,4,New,Richard Rodriguez,Glow & Go Studio
2023-04-13,Morning,Email,354.98,196.51,6,New,Elizabeth Allen,Glow & Go Studio
2023-11-20,Afternoon,Email,251.12,149.04,3,New,Mary Pugh,Glow & Go Studio
2023-11-26,Night,Facebook,102.54,31.31,3,Returning,Yolanda Keith,Glow & Go Studio
2023-01-13,Morning,Referral,174.39,64.18,2,Returning,Ana Thomas,Glow & Go Studio
2023-04-05,Night,Email,147.08,104.12,5,New,Rebecca Lee,Glow & Go Studio
2023-07-14,Morning,Walk-in,47.73,45.44,3,Returning,James Greene,Glow & Go Studio
2023-05-02,Evening,Walk-in,181.78,41.89,2,Returning,Dana Williams,Glow & Go Studio
2023-07-24,Morning,Email,203.29,101.99,2,New,Chelsea Nichols,Glow & Go Studio
2023-04-25,Morning,Email,342.89,310.96,6,New,Erin Brown,Glow & Go Studio
2023-05-05,Morning,Referral,392.9,185.93,9,Returning,Shelley York,Glow & Go Studio
2023-06-18,Night,Email,263.1,142.17,2,New,Stacey Clark,Glow & Go Studio
2023-08-13,Afternoon,Referral,322.36,67.65,4,New,John Alvarado,Glow & Go Studio
2023-07-22,Afternoon,Google Ads,70.28,15.57,0,Returning,Jordan Potter,Glow & Go Studio
2023-04-04,Evening,Google Ads,186.58,122.28,11,Returning,Katrina Jimenez,Glow & Go Studio
2023-06-05,Night,Referral,391.29,97.6,6,Returning,Frank Brooks,Glow & Go Studio
2023-06-04,Night,Instagram,177.64,76.42,2,Returning,Michelle Simpson,Glow & Go Studio
2023-09-02,Afternoon,Google Ads,67,19.91,0,Returning,James Morse,Glow & Go Studio
2023-04-24,Morning,Facebook,191.21,49.09,2,Returning,Amanda Robinson,Glow & Go Studio
2023-07-05,Night,Facebook,311.61,93.39,4,Returning,Scott Foster,Glow & Go Studio
2023-07-25,Night,Facebook,394.33,170.07,12,New,Stephen Duncan,Glow & Go Studio
2023-08-03,Afternoon,Walk-in,275.4,128.22,2,Returning,Jacqueline Pierce,Glow & Go Studio
2023-02-26,Afternoon,Email,72.51,14.71,0,New,Bradley Wallace,Glow & Go Studio
2023-06-30,Night,Walk-in,227.53,202.16,4,New,Kevin Marshall,Glow & Go Studio
2023-06-30,Night,Referral,401.92,133.96,7,Returning,Jessica Mcdonald,Glow & Go Studio
2023-06-15,Morning,Referral,291.69,214.65,13,New,Robert Stewart,Glow & Go Studio
2023-01-27,Morning,Google Ads,454.08,145.28,23,New,Christopher Hall,Glow & Go Studio
2023-10-14,Morning,Walk-in,133.88,49.26,1,New,Heather Miller,Glow & Go Studio
2023-08-06,Morning,Instagram,288.15,65.06,4,Returning,Kayla Schneider,Glow & Go Studio
2023-05-29,Night,Referral,194.34,59.55,10,New,Tammy Garcia,Glow & Go Studio
2023-12-26,Night,Walk-in,474.75,376.53,28,New,Andrew Gonzalez,Glow & Go Studio
2023-11-22,Afternoon,Facebook,392.01,134.43,9,New,Gary Turner,Glow & Go Studio
2023-06-22,Night,Instagram,128.12,36.91,2,Returning,Melinda Hill,Glow & Go Studio
2023-02-21,Afternoon,Facebook,164.69,110.97,2,New,Yolanda Murillo,Glow & Go Studio
2023-06-20,Evening,Walk-in,309.09,131.87,16,Returning,Nancy Gaines,Glow & Go Studio
2023-08-18,Evening,Instagram,378.12,92.69,13,New,Elijah Short,Glow & Go Studio
2023-02-20,Evening,Instagram,477.33,367.99,7,New,Jennifer Sullivan,Glow & Go Studio
2023-07-26,Morning,Referral,288.68,122.26,3,Returning,Mary Kennedy,Glow & Go Studio
2023-07-10,Night,Referral,339.73,281.73,5,Returning,Paige Hernandez,Glow & Go Studio
2023-08-13,Night,Referral,291.64,83.8,8,New,Darrell Curry,Glow & Go Studio
2023-12-11,Afternoon,Walk-in,121.96,31.43,2,New,Jose Hartman,Glow & Go Studio
2023-02-27,Morning,Email,25.48,5.71,0,Returning,Miranda Murray,Glow & Go Studio
2023-05-20,Morning,Referral,383.9,80.75,4,Returning,Emily Lopez,Glow & Go Studio
2023-08-26,Evening,Referral,142.76,31.04,3,New,Melissa Clark,Glow & Go Studio
2023-10-28,Morning,Referral,24.02,15.81,0,Returning,Justin Brooks,Glow & Go Studio
2023-08-03,Evening,Referral,171.5,47.65,5,Returning,Bethany Harding,Glow & Go Studio
2023-09-06,Night,Instagram,71.3,15.83,1,Returning,Robert Flowers,Glow & Go Studio
2023-10-14,Evening,Referral,99.1,33.15,1,New,Jason Jennings,Glow & Go Studio
2023-07-30,Night,Email,21.37,4.98,0,Returning,Richard Medina,Glow & Go Studio
2023-10-31,Night,Referral,402.33,346.53,10,New,Alexander Floyd,Glow & Go Studio
2023-05-03,Afternoon,Email,118.27,40.66,1,New,Brittany Cisneros,Glow & Go Studio
2023-01-26,Morning,Walk-in,264.15,138.78,7,New,Mark Morrison,Glow & Go Studio
2023-02-14,Evening,Walk-in,172.63,44.03,10,New,Sharon Baird,Glow & Go Studio
2023-04-05,Afternoon,Email,406.29,219.58,4,Returning,James Ferguson,Glow & Go Studio
2023-09-19,Afternoon,Google Ads,170.32,57.84,12,Returning,Brian Hudson,Glow & Go Studio
2023-06-08,Morning,Instagram,342.6,314.37,4,New,Steven Davis,Glow & Go Studio
2023-11-07,Evening,Facebook,17.89,5.21,0,New,Juan Johnson,Glow & Go Studio
2023-11-11,Morning,Instagram,257.37,111.4,12,Returning,Katherine Lopez,Glow & Go Studio
2023-09-02,Afternoon,Google Ads,63.06,33.23,1,Returning,Victor Campbell,Glow & Go Studio
2023-05-01,Afternoon,Walk-in,442.32,149.16,15,Returning,Matthew Jones,Glow & Go Studio
2023-08-09,Night,Facebook,294.48,71.58,4,New,Joseph Jackson,Glow & Go Studio
2023-03-14,Morning,Referral,84.94,20.87,1,Returning,Jennifer Moore,Glow & Go Studio
2023-02-20,Morning,Email,194.33,62.41,2,New,Joshua Mendoza,Glow & Go Studio
2023-09-20,Night,Instagram,359.85,354.27,5,New,Troy Glenn,Glow & Go Studio
2023-05-18,Evening,Google Ads,309.6,282.89,3,New,Daniel Reynolds,Glow & Go Studio
2023-05-14,Morning,Walk-in,442.49,301.72,5,New,Karen Munoz,Glow & Go Studio
2023-11-07,Evening,Google Ads,63.9,13.04,1,New,Laurie Shaw,Glow & Go Studio
2023-12-12,Morning,Walk-in,320.49,118.39,8,New,Desiree Smith,Glow & Go Studio
2023-08-25,Evening,Walk-in,68.56,20.34,1,Returning,Austin Ross,Glow & Go Studio
2023-05-29,Afternoon,Walk-in,412.91,141.67,10,Returning,Kelly Kent,Glow & Go Studio
2023-03-19,Afternoon,Referral,177.07,36.53,6,Returning,Julia Johnston,Glow & Go Studio
2023-06-14,Evening,Instagram,395.49,209.43,6,Returning,Donna Ibarra,Glow & Go Studio
2023-09-09,Night,Walk-in,321.11,74.38,6,Returning,Michael Dawson,Glow & Go Studio
2023-09-22,Evening,Instagram,31.61,8.49,0,Returning,Louis Patrick,Glow & Go Studio
2023-07-15,Morning,Facebook,245.94,96.67,3,Returning,David Yoder,Glow & Go Studio
2023-01-31,Evening,Referral,340.15,243.72,4,Returning,Judith Bartlett,Glow & Go Studio
2023-02-21,Afternoon,Facebook,115.24,28.82,2,New,Keith Long,Glow & Go Studio
2023-10-04,Evening,Instagram,408.19,233.16,9,New,Cynthia Harrell,Glow & Go Studio
2023-11-03,Evening,Referral,202.64,168.8,2,Returning,Mark Carter,Glow & Go Studio
2023-01-18,Evening,Google Ads,77.54,26.58,1,New,Melissa Bowen,Glow & Go Studio
2023-12-24,Evening,Google Ads,326.03,210.74,11,New,Johnny Riddle,Glow & Go Studio
2023-04-21,Morning,Email,379.63,142.99,9,New,Whitney Jones,Glow & Go Studio
2023-06-23,Morning,Instagram,221.12,48.56,5,Returning,Randall Nguyen,Glow & Go Studio
2023-04-08,Morning,Referral,382.77,80.87,15,Returning,David Hunter,Glow & Go Studio
2023-02-16,Night,Instagram,475.77,373.23,6,Returning,Benjamin Neal,Glow & Go Studio
2023-06-04,Morning,Google Ads,184.09,176.59,2,Returning,Jane Reese,Glow & Go Studio
2023-01-10,Night,Walk-in,220.63,51.49,2,New,Jennifer Smith,Glow & Go Studio
2023-08-22,Afternoon,Email,378.18,220.75,14,Returning,Thomas Murphy,Glow & Go Studio
2023-01-11,Afternoon,Referral,123.45,40.69,4,Returning,Kari Jones,Glow & Go Studio
2023-08-27,Night,Facebook,440.75,111.94,8,Returning,Dana Dodson,Glow & Go Studio
2023-04-17,Evening,Walk-in,196.39,92.75,2,New,Robert Skinner,Glow & Go Studio
2023-04-30,Morning,Instagram,61.79,29.64,0,New,Albert Garcia,Glow & Go Studio
2023-02-21,Afternoon,Walk-in,191.95,88.4,2,Returning,Joseph Myers,Glow & Go Studio
2023-09-19,Night,Facebook,218.29,86.25,2,New,Phillip Byrd,Glow & Go Studio
2023-04-09,Morning,Email,460.87,102.18,16,Returning,Hunter Robinson,Glow & Go Studio
2023-03-10,Night,Email,419.17,151.76,7,Returning,Michael Robinson,Glow & Go Studio
2023-01-07,Evening,Instagram,288.72,103.28,4,Returning,Sara Cain,Glow & Go Studio
2023-10-15,Evening,Google Ads,214.02,47.98,6,New,Michelle Prince,Glow & Go Studio
2023-09-24,Night,Walk-in,284.01,73.25,3,Returning,Eric Williams,Glow & Go Studio
2023-05-12,Morning,Email,169.42,37.92,2,New,Raymond Wang,Glow & Go Studio
2023-03-17,Night,Email,482.7,131.11,6,Returning,Jade Allen,Glow & Go Studio
2023-04-18,Evening,Walk-in,89.27,24.52,1,Returning,Javier Hays,Glow & Go Studio
2023-05-17,Night,Google Ads,372.55,76.94,12,New,Corey Caldwell,Glow & Go Studio
2023-01-28,Night,Walk-in,495.31,145.45,11,New,Stephen Robles,Glow & Go Studio
2023-03-26,Night,Facebook,318.91,127.92,19,Returning,Carol Jackson,Glow & Go Studio
2023-11-03,Morning,Instagram,405.79,91.8,16,New,Brian Murphy,Glow & Go Studio
2023-08-01,Afternoon,Email,64.64,18.99,1,New,Chelsey Clark,Glow & Go Studio
2023-08-20,Morning,Google Ads,494.08,150.65,5,New,Teresa Martinez,Glow & Go Studio
2023-07-18,Afternoon,Google Ads,114.68,71.31,1,New,Howard Thompson,Glow & Go Studio
2023-12-24,Night,Referral,108.1,58.54,1,Returning,Eugene Price,Glow & Go Studio
2023-11-02,Afternoon,Google Ads,479.51,109.44,14,Returning,Austin Briggs,Glow & Go Studio
2023-12-15,Night,Walk-in,242.7,64.47,12,New,Jackie Jones,Glow & Go Studio
2023-06-20,Afternoon,Email,341.75,175.47,6,New,Eric George,Glow & Go Studio
2023-02-19,Evening,Email,199.04,88.25,2,New,Mrs. Kimberly Mooney,Glow & Go Studio
2023-07-01,Evening,Email,481.87,260.76,5,New,Carolyn Haley,Glow & Go Studio
2023-01-18,Night,Google Ads,340.47,183.49,5,Returning,Vicki Horton,Glow & Go Studio
2023-12-02,Night,Walk-in,472.88,120.7,6,Returning,Valerie Benson,Glow & Go Studio
2023-09-02,Night,Facebook,118.76,94.35,1,New,Mark Henson,Glow & Go Studio
2023-05-06,Evening,Google Ads,32.73,10.05,0,Returning,Samuel Olson,Glow & Go Studio
2023-08-08,Night,Email,303.53,288.55,5,New,Lee Richards,Glow & Go Studio
2023-12-24,Afternoon,Google Ads,327.81,69.6,4,Returning,Martin Hall,Glow & Go Studio
2023-04-13,Night,Walk-in,297.76,132.28,4,Returning,Virginia Hall,Glow & Go Studio
2023-01-27,Evening,Instagram,227.4,86.64,11,New,Stephanie Parker,Glow & Go Studio
2023-07-05,Evening,Instagram,264.99,160.32,5,New,Nicole Harvey,Glow & Go Studio
2023-10-24,Morning,Google Ads,472.86,137.26,4,Returning,James Phillips,Glow & Go Studio
2023-12-25,Evening,Email,455.18,265.18,6,New,Dan Johnson,Glow & Go Studio
2023-10-27,Afternoon,Referral,201.62,65.66,2,Returning,Linda Bautista,Glow & Go Studio
2023-04-29,Morning,Email,400.51,218.42,4,Returning,Erin Ramirez,Glow & Go Studio
2023-11-14,Afternoon,Email,118.46,38.57,3,Returning,Paige Meyer,Glow & Go Studio
2023-09-28,Night,Instagram,128.88,109.9,2,Returning,Maria Roberts,Glow & Go Studio
2023-11-28,Evening,Email,485.35,107.2,5,Returning,Ryan Rivera,Glow & Go Studio
2023-09-19,Evening,Facebook,474.97,119.9,4,New,Joshua Knox,Glow & Go Studio
2023-09-12,Evening,Walk-in,179.54,69.97,5,Returning,Danielle Mcdaniel,Glow & Go Studio
2023-02-27,Evening,Walk-in,382.31,107.39,4,New,Lisa James,Glow & Go Studio
2023-08-25,Evening,Google Ads,87.44,24.86,1,Returning,Jeremy Smith,Glow & Go Studio
2023-04-05,Afternoon,Google Ads,485.65,181.96,26,New,Andrea Lee,Glow & Go Studio
2023-03-26,Morning,Referral,399.32,108.14,5,New,Brenda Harris,Glow & Go Studio
2023-10-17,Afternoon,Instagram,45.65,9.36,0,New,Kevin Guerra,Glow & Go Studio
2023-03-14,Afternoon,Referral,415.19,152.07,8,Returning,Cynthia Miller,Glow & Go Studio
2023-02-04,Night,Instagram,473.04,103.04,30,New,Emily Griffith,Glow & Go Studio
2023-04-28,Afternoon,Referral,433.99,110.98,5,Returning,Christopher Wright,Glow & Go Studio
2023-03-08,Morning,Google Ads,328.98,173.36,4,New,Jerome Reid,Glow & Go Studio
2023-11-20,Night,Facebook,187.92,38.33,2,New,Richard Miller,Glow & Go Studio
2023-10-16,Morning,Google Ads,190.17,146.23,2,Returning,Jennifer Jackson,Glow & Go Studio
